ID, CT, Block, Trial, W, D, WR, A, time, error
1, Point, 0, 3, 32, 1, 2.5, 500, 1.341, 0
1, Point, 0, 3, 32, 1, 2.5, 200, 1.326, 0
1, Point, 0, 4, 32, 0.5, 1.5, 350, 1.732, 0
1, Point, 0, 4, 32, 0.5, 1.5, 200, 1.147, 0
1, Point, 0, 4, 32, 0.5, 1.5, 500, 1.52299, 0
1, Point, 0, 4, 32, 0.5, 1.5, 200, 0.968002, 0
1, Point, 0, 4, 32, 0.5, 1.5, 350, 1.942, 0
1, Point, 0, 4, 32, 0.5, 1.5, 200, 1.05, 0
1, Point, 0, 4, 32, 0.5, 1.5, 350, 1.453, 0
1, Point, 0, 4, 32, 0.5, 1.5, 500, 1.572, 0
1, Point, 0, 4, 32, 0.5, 1.5, 500, 1.25401, 0
1, Point, 0, 5, 32, 0.5, 2.5, 350, 1.436, 0
1, Point, 0, 5, 32, 0.5, 2.5, 350, 1.239, 0
1, Point, 0, 5, 32, 0.5, 2.5, 500, 1.41299, 0
1, Point, 0, 5, 32, 0.5, 2.5, 500, 1.534, 0
1, Point, 0, 5, 32, 0.5, 2.5, 200, 1.063, 0
1, Point, 0, 5, 32, 0.5, 2.5, 200, 1.236, 0
1, Point, 0, 5, 32, 0.5, 2.5, 200, 1.286, 0
1, Point, 0, 5, 32, 0.5, 2.5, 350, 1.919, 0
1, Point, 0, 5, 32, 0.5, 2.5, 500, 2.462, 0
1, Point, 0, 6, 48, 1, 2.5, 200, 0.829994, 0
1, Point, 0, 6, 48, 1, 2.5, 500, 1.352, 0
1, Point, 0, 6, 48, 1, 2.5, 500, 0.990005, 0
1, Point, 0, 6, 48, 1, 2.5, 500, 1.27, 0
1, Point, 0, 6, 48, 1, 2.5, 350, 1.032, 0
1, Point, 0, 6, 48, 1, 2.5, 350, 0.990997, 0
1, Point, 0, 6, 48, 1, 2.5, 350, 1.23199, 0
1, Point, 0, 6, 48, 1, 2.5, 200, 0.908005, 0
1, Point, 0, 6, 48, 1, 2.5, 200, 0.929001, 0
1, Point, 0, 7, 48, 0.5, 2.5, 200, 0.843994, 0
1, Point, 0, 7, 48, 0.5, 2.5, 500, 0.963013, 0
1, Point, 0, 7, 48, 0.5, 2.5, 350, 0.894989, 0
1, Point, 0, 7, 48, 0.5, 2.5, 350, 0.960007, 0
1, Point, 0, 7, 48, 0.5, 2.5, 200, 1.032, 0
1, Point, 0, 7, 48, 0.5, 2.5, 500, 1.252, 0
1, Point, 0, 7, 48, 0.5, 2.5, 200, 1.586, 0
1, Point, 0, 7, 48, 0.5, 2.5, 500, 0.880005, 0
1, Point, 0, 7, 48, 0.5, 2.5, 350, 0.994003, 0
1, Point, 1, 0, 32, 1, 2.5, 200, 0.956009, 0
1, Point, 1, 0, 32, 1, 2.5, 500, 1.409, 0
1, Point, 1, 0, 32, 1, 2.5, 500, 1.30501, 0
1, Point, 1, 0, 32, 1, 2.5, 500, 1.159, 0
1, Point, 1, 0, 32, 1, 2.5, 200, 0.831009, 0
1, Point, 1, 0, 32, 1, 2.5, 350, 1.205, 0
1, Point, 1, 0, 32, 1, 2.5, 350, 1.103, 0
1, Point, 1, 0, 32, 1, 2.5, 350, 1.224, 0
1, Point, 1, 0, 32, 1, 2.5, 200, 1.284, 0
1, Point, 1, 1, 32, 1, 1.5, 350, 1.181, 0
1, Point, 1, 1, 32, 1, 1.5, 350, 1.071, 0
1, Point, 1, 1, 32, 1, 1.5, 500, 1.40701, 0
1, Point, 1, 1, 32, 1, 1.5, 350, 1.183, 0
1, Point, 1, 1, 32, 1, 1.5, 200, 0.849991, 0
1, Point, 1, 1, 32, 1, 1.5, 200, 1.96899, 1
1, Point, 1, 1, 32, 1, 1.5, 200, 1.088, 0
1, Point, 1, 1, 32, 1, 1.5, 500, 1.59801, 0
1, Point, 1, 1, 32, 1, 1.5, 500, 1.358, 0
1, Point, 1, 2, 48, 0.5, 2.5, 200, 0.942001, 0
1, Point, 1, 2, 48, 0.5, 2.5, 200, 0.863007, 0
1, Point, 1, 2, 48, 0.5, 2.5, 350, 0.977997, 0
1, Point, 1, 2, 48, 0.5, 2.5, 200, 1.50499, 1
1, Point, 1, 2, 48, 0.5, 2.5, 500, 1.05101, 0
1, Point, 1, 2, 48, 0.5, 2.5, 500, 0.916, 0
1, Point, 1, 2, 48, 0.5, 2.5, 500, 1.075, 0
1, Point, 1, 2, 48, 0.5, 2.5, 350, 1.181, 0
1, Point, 1, 2, 48, 0.5, 2.5, 350, 0.985992, 0
1, Point, 1, 3, 48, 1, 2.5, 350, 1.049, 0
1, Point, 1, 3, 48, 1, 2.5, 200, 0.86499, 0
1, Point, 1, 3, 48, 1, 2.5, 500, 1.04901, 0
1, Point, 1, 3, 48, 1, 2.5, 200, 0.895996, 0
1, Point, 1, 3, 48, 1, 2.5, 350, 1.746, 1
1, Point, 1, 3, 48, 1, 2.5, 500, 1.067, 0
1, Point, 1, 3, 48, 1, 2.5, 350, 1.183, 0
1, Point, 1, 3, 48, 1, 2.5, 200, 0.796005, 0
1, Point, 1, 3, 48, 1, 2.5, 500, 1.59, 1
1, Point, 1, 4, 48, 0.5, 1.5, 200, 0.759003, 0
1, Point, 1, 4, 48, 0.5, 1.5, 350, 0.981995, 0
1, Point, 1, 4, 48, 0.5, 1.5, 200, 0.781006, 0
1, Point, 1, 4, 48, 0.5, 1.5, 350, 0.975006, 0
